row_number,단지명,도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액
4,덕정주공6단지,경기도,양주시,고암동,경기도 양주시 고암동 580 양주덕정6단지,"경기도 양주시 고암길 252-36 (고암동, 조은마을)",아파트,2007,20,0,977,2589,2021-05-07T00:00:00,A,18,7000,126000
5,덕정주공8단지,경기도,양주시,고암동,경기도 양주시 고암동 584 덕정주공8단지,"경기도 양주시 고암길 172-14 (고암동, 행복한마을)",아파트,2006,18,0,550,1458,2021-04-15T00:00:00,A,19,7000,133000
6,덕정중흥S클래스아파트,경기도,양주시,고암동,경기도 양주시 고암동 582 덕정 중흥에스클래스,"경기도 양주시 고암길 200 (고암동, 덕정 중흥에스클래스)",아파트,2011,25,53,314,832,2023-06-13T00:00:00,A,7,7000,49000
7,산내들마을한양수자인1블럭아파트,경기도,양주시,고읍동,경기도 양주시 고읍동 440 산내들마을 한양수자인,"경기도 양주시 고읍로 11-7 (고읍동, 산내들마을 한양수자인)",아파트,2009,15,32,598,1585,2019-06-26T00:00:00,A,21,7000,147000
8,양주TS푸른솔1차아파트,경기도,양주시,고읍동,경기도 양주시 고읍동 77 TS푸른솔1차아파트,"경기도 양주시 부흥로 2021-7 (고읍동, TS푸른솔1차아파트)",아파트,1999,19,23,494,1309,2019-06-25T00:00:00,A,15,7000,105000
9,양주고읍휴먼시아4단지,경기도,양주시,고읍동,경기도 양주시 고읍동 452 산내들마을휴먼시아,"경기도 양주시 고읍로 64 (고읍동, 산내들마을휴먼시아)",아파트,2010,15,0,330,875,2020-07-14T00:00:00,A,10,7000,70000
10,우미린아파트,경기도,양주시,고읍동,경기도 양주시 고읍동 451 산내들마을우미린아파트,"경기도 양주시 고읍로35번길 8 (고읍동, 산내들마을우미린아파트)",아파트,2009,15,34,513,1359,2023-03-08T00:00:00,A,17,7000,119000
11,신도브래뉴8차아파트,경기도,양주시,광사동,경기도 양주시 광사동 313-4 주내신도8차푸른숲아파트,"경기도 양주시 부흥로 1899 (광사동, 주내신도8차푸른숲아파트)",아파트,1999,15,21,400,1060,2024-06-03T00:00:00,A,14,7000,98000
12,양주벨라시티아파트,경기도,양주시,광적면,경기도 양주시 광적면 가납리 905 양주벨라시티아파트,경기도 양주시 광적면 지섬로198번길 16 (양주벨라시티아파트),아파트,2017,14,26,499,1322,2020-10-20T00:00:00,A,17,7000,119000
13,덕계금용1차아파트,경기도,양주시,덕계동,경기도 양주시 덕계동 670 금용아파트,"경기도 양주시 평화로1429번길 43-10 (덕계동, 금용아파트)",아파트,1991,12,24,188,498,2020-09-18T00:00:00,A,2,7000,14000
14,범양마더빌아파트,경기도,양주시,덕계동,경기도 양주시 덕계동 853 범양아파트2단지,"경기도 양주시 평화로 1476-24 (덕계동, 범양아파트2단지)",아파트,2005,15,34,508,1346,2023-05-03T00:00:00,A,21,7000,147000
15,양주금광1차아파트,경기도,양주시,덕계동,경기도 양주시 덕계동 646-1 금광포란재아파트,"경기도 양주시 평화로1429번길 89-94 (덕계동, 금광포란재아파트)",아파트,2002,15,21,498,1320,2020-10-20T00:00:00,A,15,7000,105000
16,양주금광2차포란재아파트,경기도,양주시,덕계동,경기도 양주시 덕계동 424-1 금광포란재아파트,"경기도 양주시 평화로1438번길 11-12 (덕계동, 금광포란재아파트)",아파트,2002,15,33,408,1081,2023-09-04T00:00:00,A,14,7000,98000
17,양주현진에버빌1단지,경기도,양주시,덕계동,경기도 양주시 덕계동 855 양주덕계현진에버빌1단지,"경기도 양주시 고덕로 160 (덕계동, 양주덕계현진에버빌1단지)",아파트,2007,15,32,418,1108,2022-11-08T00:00:00,A,14,7000,98000
18,양주서희스타힐스2단지,경기도,양주시,덕정동,경기도 양주시 덕정동 540 양주서희스타힐스2단지,"경기도 양주시 화합로1325번길 22-33 (덕정동, 양주서희스타힐스2단지)",아파트,2014,21,33,821,2176,2020-09-28T00:00:00,A,20,7000,140000
19,고읍주공8단지,경기도,양주시,만송동,경기도 양주시 만송동 700 양주고읍휴먼시아8단지,"경기도 양주시 고읍북로 120 (만송동, 은빛마을 휴먼시아)",아파트,2010,15,0,1124,2979,2021-04-01T00:00:00,A,22,7000,154000
20,양주고읍5단지,경기도,양주시,만송동,경기도 양주시 만송동 694 양주고읍휴먼시아5단지,"경기도 양주시 고읍북로 15 (만송동, 은빛마을휴먼시아)",아파트,2010,15,0,531,1407,2022-01-28T00:00:00,A,14,7000,98000
21,양주고읍6단지,경기도,양주시,만송동,경기도 양주시 만송동 698 은빛마을휴먼시아,"경기도 양주시 고읍로 117-21 (만송동, 은빛마을휴먼시아)",아파트,2010,15,0,503,1333,2023-05-10T00:00:00,A,10,7000,70000
22,양주고읍7단지,경기도,양주시,만송동,경기도 양주시 만송동 701 은빛마을 휴먼시아,"경기도 양주시 고읍북로 78 (만송동, 은빛마을 휴먼시아)",아파트,2010,15,0,773,2048,2020-10-07T00:00:00,A,16,7000,112000
23,은빛마을한양수자인2단지,경기도,양주시,만송동,경기도 양주시 만송동 696 은빛마을 한양수자인,"경기도 양주시 고읍로 117-7 (만송동, 은빛마을 한양수자인)",아파트,2010,15,37,434,1150,2020-01-07T00:00:00,A,12,7000,84000
24,양주한승아파트,경기도,양주시,산북동,경기도 양주시 산북동 1 한승미르빌아파트,"경기도 양주시 고덕로 108-59 (산북동, 한승미르빌아파트)",아파트,2001,15,34,498,1320,2020-09-25T00:00:00,A,18,7000,126000
25,성우아침의미소아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 569 성우아파트 아침의미소,"경기도 양주시 부흥로 2152-11 (삼숭동, 성우아파트 아침의미소)",아파트,2004,15,25,917,2430,2021-09-03T00:00:00,A+,33,10000,330000
26,양주자이1단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 686-1 양주자이아파트,"경기도 양주시 삼숭로38번길 78-30 (삼숭동, 양주자이아파트)",아파트,2005,15,24,786,2083,2020-01-10T00:00:00,A,27,7000,189000
27,양주자이2단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 684-1 양주자이아파트,"경기도 양주시 삼숭로38번길 78-12 (삼숭동, 양주자이아파트)",아파트,2005,15,32,574,1521,2020-01-06T00:00:00,A,22,7000,154000
28,양주자이3단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 683-1 양주자이아파트,"경기도 양주시 삼숭로38번길 55 (삼숭동, 양주자이아파트)",아파트,2005,15,32,742,1966,2020-04-16T00:00:00,A,25,7000,175000
29,양주자이4단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 682-1 양주자이아파트,"경기도 양주시 삼숭로38번길 91 (삼숭동, 양주자이아파트)",아파트,2005,15,32,852,2258,2019-12-20T00:00:00,A,29,7000,203000
30,양주자이6단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 688 양주자이아파트,"경기도 양주시 삼숭로58번길 115 (삼숭동, 양주자이아파트)",아파트,2006,15,32,735,1948,2022-05-26T00:00:00,A,25,7000,175000
31,양주자이7단지아파트,경기도,양주시,삼숭동,경기도 양주시 삼숭동 689 양주자이아파트,"경기도 양주시 삼숭로58번길 141 (삼숭동, 양주자이아파트)",아파트,2006,15,32,561,1487,2020-02-24T00:00:00,A,19,7000,133000
32,e편한세상옥정에듀써밋아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 1051 e편한세상 옥정 에듀써밋,"경기도 양주시 옥정동로1길 63 (옥정동, e편한세상 옥정 에듀써밋)",아파트,2018,25,0,1160,3074,2019-09-16T00:00:00,A+,26,10000,260000
33,GS건설제이드웰NHF아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 1085 지에스건설제이드웰엔에이치에프,"경기도 양주시 옥정동로 104 (옥정동, 지에스건설제이드웰엔에이치에프)",아파트,2018,29,0,947,2510,2020-10-19T00:00:00,A,21,7000,147000
34,LH율정마을8단지,경기도,양주시,옥정동,경기도 양주시 옥정동 1032 옥정천년나무8단지,"경기도 양주시 옥정동로 258 (옥정동, 옥정천년나무8단지)",아파트,2017,21,0,1550,4108,2020-05-08T00:00:00,A,20,7000,140000
35,금호제이드웰아파트,경기도,양주시,옥정동,경기도 양주시 옥정동 1084 금호건설제이드웰엔에이치에프,"경기도 양주시 옥정동로 106 (옥정동, 금호건설제이드웰엔에이치에프)",아파트,2018,29,0,526,1394,2022-02-24T00:00:00,A,11,7000,77000
36,세영리첼레이크파크,경기도,양주시,옥정동,경기도 양주시 옥정동 970 양주 옥정 세영리첼레이크파크,"경기도 양주시 회천남로 14 (옥정동, 세영리첼 레이크파크)",아파트,2020,28,0,811,2149,2020-09-28T00:00:00,A,22,7000,154000
